               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.063143,            0.058636,            0.044066,             0.83921,             0.35714,             0.59143,             0.35223,            0.059987,            0.044863,            0.040658,            0.004951,            0.004951,            0.004951
                  53,            0.060724,            0.050783,            0.048609,             0.58321,             0.51431,             0.63634,             0.25588,             0.05899,            0.045495,            0.039338,            0.004852,            0.004852,            0.004852
                  54,            0.061474,            0.055965,            0.040341,             0.58321,             0.51431,             0.63634,             0.25588,             0.05899,            0.045495,            0.039338,            0.004753,            0.004753,            0.004753
                  55,            0.060517,            0.046045,            0.044645,              0.7356,             0.47708,             0.68617,              0.4053,            0.054782,            0.044506,            0.038356,            0.004654,            0.004654,            0.004654
                  56,            0.058371,            0.055362,            0.044722,              0.7356,             0.47708,             0.68617,              0.4053,            0.054782,            0.044506,            0.038356,            0.004555,            0.004555,            0.004555
                  57,            0.057676,            0.048516,            0.041001,             0.60352,             0.53073,             0.72252,             0.41287,            0.050102,            0.044526,            0.037155,            0.004456,            0.004456,            0.004456
                  58,            0.053091,            0.057861,            0.040504,             0.60352,             0.53073,             0.72252,             0.41287,            0.050102,            0.044526,            0.037155,            0.004357,            0.004357,            0.004357
                  59,            0.052673,            0.056049,            0.041852,             0.43738,             0.75671,             0.73247,             0.38444,            0.053628,            0.044087,            0.036266,            0.004258,            0.004258,            0.004258
                  60,            0.057112,            0.045236,            0.041592,             0.43738,             0.75671,             0.73247,             0.38444,            0.053628,            0.044087,            0.036266,            0.004159,            0.004159,            0.004159
                  61,            0.058251,             0.05931,             0.04093,             0.62738,             0.75624,             0.77972,             0.44584,            0.048596,            0.044973,            0.035652,             0.00406,             0.00406,             0.00406
                  62,            0.057147,            0.049486,            0.039976,             0.62738,             0.75624,             0.77972,             0.44584,            0.048596,            0.044973,            0.035652,            0.003961,            0.003961,            0.003961
                  63,            0.056399,            0.042083,            0.039462,             0.62383,             0.71768,             0.75278,             0.44779,            0.048419,            0.044612,            0.034965,            0.003862,            0.003862,            0.003862
                  64,            0.049954,            0.049384,            0.037643,             0.62383,             0.71768,             0.75278,             0.44779,            0.048419,            0.044612,            0.034965,            0.003763,            0.003763,            0.003763
                  65,            0.053876,            0.040367,            0.039257,             0.74471,             0.69665,             0.82829,              0.4251,            0.045138,            0.043831,            0.034521,            0.003664,            0.003664,            0.003664
                  66,             0.05279,            0.056895,            0.037496,             0.74471,             0.69665,             0.82829,              0.4251,            0.045138,            0.043831,            0.034521,            0.003565,            0.003565,            0.003565
                  67,            0.056587,            0.059029,            0.038902,             0.85693,             0.65066,             0.80054,             0.48178,            0.048258,            0.043692,            0.033796,            0.003466,            0.003466,            0.003466
                  68,            0.051167,            0.073878,            0.038692,             0.85693,             0.65066,             0.80054,             0.48178,            0.048258,            0.043692,            0.033796,            0.003367,            0.003367,            0.003367
                  69,            0.051851,            0.060727,            0.037549,             0.86317,             0.65439,             0.82979,             0.51242,            0.040519,            0.043226,            0.033642,            0.003268,            0.003268,            0.003268
                  70,            0.045499,            0.038182,            0.039224,             0.86317,             0.65439,             0.82979,             0.51242,            0.040519,            0.043226,            0.033642,            0.003169,            0.003169,            0.003169
                  71,            0.048889,            0.054254,            0.038625,             0.68746,             0.64606,             0.75165,             0.47645,            0.046154,            0.044678,            0.033028,             0.00307,             0.00307,             0.00307
                  72,            0.048619,            0.053155,             0.03601,             0.68746,             0.64606,             0.75165,             0.47645,            0.046154,            0.044678,            0.033028,            0.002971,            0.002971,            0.002971
                  73,            0.048936,             0.04972,            0.036525,             0.71288,             0.71429,             0.81392,              0.4821,             0.04177,            0.043401,            0.032926,            0.002872,            0.002872,            0.002872
                  74,            0.050632,            0.050033,            0.036394,             0.71288,             0.71429,             0.81392,              0.4821,             0.04177,            0.043401,            0.032926,            0.002773,            0.002773,            0.002773
                  75,            0.048787,            0.054311,            0.033998,             0.73645,             0.62637,             0.78951,             0.48281,             0.04097,            0.044136,            0.032309,            0.002674,            0.002674,            0.002674
                  76,            0.043659,            0.056242,             0.03522,             0.73645,             0.62637,             0.78951,             0.48281,             0.04097,            0.044136,            0.032309,            0.002575,            0.002575,            0.002575
