               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   4,             0.11523,            0.075415,            0.084897,           0.0074221,            0.084077,            0.050162,           0.0083743,             0.11258,            0.065757,            0.087092,            0.091829,          0.00082872,          0.00082872
                   5,             0.10994,            0.073437,             0.08354,           0.0096037,            0.078869,            0.047469,           0.0081814,             0.10866,            0.068294,            0.085633,            0.089991,           0.0009911,           0.0009911
                   6,             0.10825,             0.08016,            0.081759,            0.014201,             0.15972,            0.067846,            0.012042,             0.10583,             0.07003,            0.084299,            0.088146,           0.0011456,           0.0011456
                   7,             0.10367,            0.086181,            0.080627,            0.013255,             0.17485,            0.072104,             0.01214,             0.10318,            0.071564,            0.083125,            0.086292,           0.0012921,           0.0012921
                   8,            0.098541,            0.072442,            0.078659,            0.016776,             0.23388,            0.078935,            0.013579,             0.10155,            0.072622,            0.082567,            0.084431,           0.0014307,           0.0014307
                   9,             0.09878,            0.086789,            0.079023,            0.021267,             0.29067,            0.075844,            0.015552,            0.099402,             0.07401,            0.081767,            0.082561,           0.0015614,           0.0015614
                  10,            0.096443,            0.095854,            0.077771,            0.026579,              0.3693,            0.091205,            0.018457,            0.097005,            0.075226,            0.080965,            0.080684,           0.0016842,           0.0016842
                  11,            0.097262,            0.091015,            0.075552,            0.028298,             0.32366,            0.083046,             0.01755,            0.094957,            0.075825,            0.080325,            0.078799,           0.0017991,           0.0017991
                  12,            0.094068,            0.088435,            0.073509,             0.02793,             0.36434,            0.092819,            0.022493,            0.092856,            0.076147,            0.079565,            0.076906,            0.001906,            0.001906
                  13,            0.091566,            0.091478,            0.075037,            0.026704,             0.27629,            0.077857,            0.018896,            0.090924,            0.076159,            0.078863,            0.075005,            0.002005,            0.002005
                  14,            0.093398,             0.11587,            0.073321,            0.027438,             0.30208,            0.090585,            0.021295,            0.089225,            0.075578,            0.078232,            0.073096,           0.0020961,           0.0020961
                  15,            0.087844,            0.096234,            0.071795,            0.028026,             0.21925,            0.057299,            0.014459,            0.087299,            0.075195,            0.077576,            0.071179,           0.0021793,           0.0021793
                  16,            0.085387,             0.10378,            0.070905,             0.03125,             0.14311,            0.039648,            0.011336,            0.085545,            0.074664,            0.076821,            0.069255,           0.0022546,           0.0022546
                  17,            0.084486,            0.093397,            0.069337,             0.66072,            0.087302,            0.064923,            0.016287,             0.08333,            0.074545,            0.075767,            0.067322,           0.0023219,           0.0023219
                  18,            0.082709,            0.076439,            0.067812,            0.023909,             0.15699,            0.036569,            0.010137,            0.081832,            0.074936,            0.074503,            0.065381,           0.0023813,           0.0023813
                  19,            0.083097,            0.091454,            0.066866,             0.83185,            0.067609,            0.065802,            0.016448,            0.080239,            0.075631,            0.073497,            0.063433,           0.0024328,           0.0024328
                  20,            0.080366,            0.090793,             0.06618,              0.4511,             0.12748,            0.050549,            0.010529,            0.079917,            0.076659,            0.072641,            0.061476,           0.0024764,           0.0024764
                  21,            0.076716,            0.074412,            0.064896,             0.68543,            0.087798,            0.030266,           0.0076367,            0.077651,            0.078402,            0.071419,            0.059512,           0.0025121,           0.0025121
                  22,            0.078677,            0.077695,            0.064203,             0.78139,            0.043651,            0.014544,            0.003831,             0.08023,            0.081856,            0.070719,             0.05754,           0.0025398,           0.0025398
                  23,            0.076763,            0.082734,            0.060684,             0.71273,            0.080853,            0.048952,            0.016375,            0.074689,            0.080709,            0.070034,             0.05556,           0.0025596,           0.0025596
                  24,            0.077429,            0.087092,            0.060485,             0.80737,            0.050595,            0.018931,           0.0044986,            0.078996,            0.083566,            0.069377,            0.053572,           0.0025715,           0.0025715
                  25,            0.076072,            0.066525,            0.062394,             0.70295,            0.073165,            0.032409,           0.0096356,            0.075534,            0.083012,            0.068353,            0.051576,           0.0025755,           0.0025755
                  26,            0.075925,            0.070613,            0.060792,             0.78484,            0.094742,            0.057939,            0.013396,            0.072895,            0.077082,            0.066613,            0.049572,           0.0025716,           0.0025716
                  27,            0.070608,            0.070263,            0.057276,             0.78484,            0.094742,            0.057939,            0.013396,            0.072895,            0.077082,            0.066613,             0.04756,           0.0025597,           0.0025597
                  28,            0.070457,            0.062044,            0.057315,             0.79622,             0.13021,            0.098605,            0.023853,            0.069979,            0.074788,            0.065355,             0.04554,           0.0025399,           0.0025399
                  29,            0.071781,            0.068753,            0.060124,             0.79095,            0.094494,            0.090262,            0.017986,            0.076115,            0.072352,            0.063381,            0.043512,           0.0025122,           0.0025122
                  30,            0.073922,            0.078331,            0.057067,             0.79095,            0.094494,            0.090262,            0.017986,            0.076115,            0.072352,            0.063381,            0.041477,           0.0024766,           0.0024766
                  31,             0.07217,            0.072799,            0.056887,             0.86911,             0.12426,             0.12423,            0.051233,            0.062409,            0.069496,            0.061995,            0.039433,           0.0024331,           0.0024331
                  32,            0.067679,            0.084573,            0.054804,              0.6905,            0.064484,            0.044541,            0.016334,            0.075203,            0.067396,            0.060702,            0.037382,           0.0023816,           0.0023816
                  33,            0.072746,            0.067006,            0.055157,              0.6905,            0.064484,            0.044541,            0.016334,            0.075203,            0.067396,            0.060702,            0.035322,           0.0023222,           0.0023222
                  34,            0.068204,            0.073419,            0.055401,             0.87568,             0.13021,             0.14313,            0.065741,            0.061847,            0.065751,            0.059659,            0.033255,           0.0022549,           0.0022549
                  35,            0.065734,            0.076685,            0.053273,             0.74799,             0.13814,            0.098713,            0.029136,            0.069529,            0.064975,            0.058674,             0.03118,           0.0021797,           0.0021797
                  36,            0.071939,             0.08142,            0.054077,             0.74799,             0.13814,            0.098713,            0.029136,            0.069529,            0.064975,            0.058674,            0.029097,           0.0020966,           0.0020966
                  37,            0.067932,            0.072321,            0.049382,             0.83929,             0.15377,             0.18365,            0.076592,            0.062689,             0.06161,            0.057817,            0.027006,           0.0020055,           0.0020055
                  38,            0.068043,            0.068992,            0.051335,             0.75213,             0.17163,             0.15142,            0.080181,            0.060486,            0.061643,            0.057093,            0.024907,           0.0019065,           0.0019065
                  39,            0.065584,            0.073483,            0.049275,             0.75213,             0.17163,             0.15142,            0.080181,            0.060486,            0.061643,            0.057093,              0.0228,           0.0017996,           0.0017996
                  40,            0.065439,            0.078703,            0.052349,             0.78909,             0.20114,             0.20245,             0.05812,            0.062946,            0.059429,            0.056515,            0.020685,           0.0016848,           0.0016848
                  41,             0.06457,            0.081826,             0.05082,             0.80785,             0.21305,             0.23189,             0.11111,             0.05493,            0.058401,            0.056066,            0.018562,           0.0015621,           0.0015621
                  42,            0.058838,            0.075438,            0.051726,             0.80785,             0.21305,             0.23189,             0.11111,             0.05493,            0.058401,            0.056066,            0.016431,           0.0014314,           0.0014314
                  43,            0.059474,            0.062599,            0.050027,             0.79628,             0.27207,             0.32255,              0.1488,            0.055115,            0.057351,            0.055575,            0.014293,           0.0012928,           0.0012928
                  44,            0.060452,             0.06549,            0.050031,              0.7996,             0.23661,             0.27907,             0.12882,            0.055115,            0.057351,            0.055575,            0.012146,           0.0011463,           0.0011463
                  45,            0.059895,            0.069036,            0.048472,              0.8243,             0.23494,             0.28187,             0.15239,            0.052807,            0.056036,            0.055026,           0.0099919,           0.0009919,           0.0009919
                  46,            0.057598,            0.060804,            0.049406,             0.82673,             0.26612,             0.32218,             0.17198,            0.052807,            0.056036,            0.055026,           0.0078296,          0.00082956,          0.00082956
                  47,            0.058785,              0.0731,            0.048769,             0.87247,             0.26017,               0.349,             0.18503,            0.051607,            0.055647,            0.054779,           0.0056593,           0.0006593,           0.0006593
                  48,            0.057322,            0.068828,            0.048348,             0.87445,             0.27406,             0.38114,             0.20097,            0.051607,            0.055647,            0.054779,           0.0034811,          0.00048112,          0.00048112
                  49,            0.057473,            0.073451,            0.050922,             0.88836,             0.29687,             0.38703,             0.21412,            0.050915,            0.055153,            0.054595,            0.001295,          0.00029502,          0.00029502
                   0,             0.12238,            0.066715,            0.087945,           0.0031407,            0.034722,           0.0093274,          0.00099517,             0.12333,            0.058908,            0.090696,              0.0991,              0.0001,              0.0001
                   1,             0.12167,            0.054883,            0.086601,           0.0033186,            0.041667,            0.015591,           0.0018257,             0.12213,             0.05955,            0.090228,            0.097294,          0.00029406,          0.00029406
                   2,             0.12085,            0.071517,            0.086851,           0.0040509,            0.048611,            0.044468,           0.0054012,             0.11994,            0.060929,            0.089443,             0.09548,           0.0004802,           0.0004802
                   3,             0.11779,            0.068735,            0.086305,            0.004989,            0.061508,            0.057213,             0.01063,             0.11655,            0.063217,            0.088376,            0.093658,          0.00065842,          0.00065842
                   4,             0.11523,            0.075415,            0.084897,           0.0077753,            0.070188,            0.051504,            0.009792,             0.11258,            0.065757,            0.087092,            0.091829,          0.00082872,          0.00082872
                   5,             0.10994,            0.073437,             0.08354,            0.012483,              0.1369,            0.066047,              0.0107,             0.10866,            0.068294,            0.085633,            0.089991,           0.0009911,           0.0009911
                   6,             0.10825,             0.08016,            0.081759,            0.014903,             0.18229,            0.075169,            0.012237,             0.10583,             0.07003,            0.084299,            0.088146,           0.0011456,           0.0011456
                   7,             0.10367,            0.086181,            0.080627,            0.012333,             0.14633,            0.064383,            0.012079,             0.10318,            0.071564,            0.083125,            0.086292,           0.0012921,           0.0012921
                   8,            0.098541,            0.072442,            0.078659,            0.016776,             0.23388,            0.078935,            0.013579,             0.10155,            0.072622,            0.082567,            0.084431,           0.0014307,           0.0014307
                   9,             0.09878,            0.086789,            0.079023,            0.021095,              0.3192,            0.082016,             0.01693,            0.099402,             0.07401,            0.081767,            0.082561,           0.0015614,           0.0015614
                  10,            0.096443,            0.095854,            0.077771,            0.026579,              0.3693,            0.091205,            0.018457,            0.097005,            0.075226,            0.080965,            0.080684,           0.0016842,           0.0016842
                  11,            0.097262,            0.091015,            0.075552,             0.02801,             0.39286,            0.094511,            0.020239,            0.094957,            0.075825,            0.080325,            0.078799,           0.0017991,           0.0017991
                  12,            0.094068,            0.088435,            0.073509,             0.02793,             0.36434,            0.092819,            0.022493,            0.092856,            0.076147,            0.079565,            0.076906,            0.001906,            0.001906
                  13,            0.091566,            0.091478,            0.075037,            0.026704,             0.27629,            0.077857,            0.018896,            0.090924,            0.076159,            0.078863,            0.075005,            0.002005,            0.002005
                  14,            0.093398,             0.11587,            0.073321,            0.027438,             0.30208,            0.090585,            0.021295,            0.089225,            0.075578,            0.078232,            0.073096,           0.0020961,           0.0020961
                  15,            0.087844,            0.096234,            0.071795,            0.030094,              0.2815,             0.06731,             0.01747,            0.087299,            0.075195,            0.077576,            0.071179,           0.0021793,           0.0021793
                  16,            0.085387,             0.10378,            0.070905,            0.026878,             0.19147,            0.044052,            0.012988,            0.085545,            0.074664,            0.076821,            0.069255,           0.0022546,           0.0022546
                  17,            0.084486,            0.093397,            0.069337,             0.66072,            0.087302,            0.064923,            0.016287,             0.08333,            0.074545,            0.075767,            0.067322,           0.0023219,           0.0023219
                  18,            0.082709,            0.076439,            0.067812,            0.025003,             0.20536,            0.055171,            0.015353,            0.081832,            0.074936,            0.074503,            0.065381,           0.0023813,           0.0023813
